iter	Passed	Remaining
0	12	6364
1	23	5923
2	34	5796
3	46	5742
4	59	5843
5	71	5880
6	82	5826
7	93	5748
8	106	5823
9	118	5816
10	130	5792
11	141	5735
12	151	5669
13	163	5670
14	178	5759
15	188	5696
16	196	5583
17	204	5487
18	214	5435
19	223	5371
20	233	5330
21	244	5308
22	253	5261
23	264	5243
24	275	5239
25	284	5177
26	292	5126
27	302	5097
28	311	5058
29	319	5009
30	329	4978
31	337	4940
32	347	4920
33	357	4902
34	367	4881
35	378	4883
36	388	4863
37	398	4841
38	407	4821
39	419	4826
40	430	4816
41	440	4798
42	450	4792
43	460	4774
44	470	4756
45	479	4735
46	490	4726
47	501	4721
48	510	4697
49	518	4668
50	527	4645
51	536	4618
52	544	4596
53	554	4583
54	565	4575
55	575	4566
56	585	4553
57	596	4542
58	605	4528
59	615	4513
60	624	4490
61	633	4472
62	643	4463
63	652	4444
64	661	4425
65	670	4409
66	678	4386
67	687	4370
68	696	4348
69	705	4332
70	714	4317
71	724	4304
72	732	4286
73	742	4275
74	751	4258
75	760	4240
76	769	4228
77	777	4208
78	786	4191
79	796	4181
80	805	4165
81	813	4145
82	821	4128
83	831	4118
84	840	4103
85	850	4096
86	859	4077
87	868	4067
88	877	4051
89	887	4042
90	898	4036
91	905	4017
92	914	4000
93	922	3984
94	930	3966
95	938	3950
96	947	3936
97	956	3922
98	966	3912
99	975	3902
100	983	3884
101	993	3876
102	1002	3862
103	1010	3847
104	1020	3838
105	1029	3827
106	1039	3819
107	1049	3807
108	1057	3791
109	1065	3777
110	1074	3765
111	1082	3750
112	1093	3744
113	1100	3727
114	1111	3720
115	1119	3706
116	1130	3699
117	1140	3690
118	1147	3675
119	1157	3666
120	1167	3656
121	1175	3643
122	1185	3635
123	1194	3622
124	1202	3607
125	1210	3594
126	1219	3581
127	1228	3571
128	1237	3557
129	1247	3550
130	1255	3536
131	1263	3523
132	1274	3517
133	1282	3503
134	1291	3491
135	1299	3478
136	1310	3471
137	1320	3464
138	1330	3455
139	1340	3447
140	1348	3433
141	1357	3422
142	1365	3409
143	1374	3399
144	1385	3392
145	1393	3379
146	1403	3370
147	1412	3359
148	1422	3351
149	1430	3337
150	1440	3329
151	1450	3320
152	1458	3307
153	1468	3300
154	1477	3289
155	1487	3279
156	1498	3272
157	1506	3261
158	1514	3248
159	1524	3239
160	1535	3232
161	1545	3224
162	1554	3214
163	1563	3202
164	1571	3191
165	1581	3182
166	1592	3174
167	1602	3167
168	1613	3159
169	1622	3149
170	1630	3136
171	1639	3127
172	1649	3117
173	1659	3108
174	1668	3099
175	1678	3089
176	1686	3077
177	1698	3071
178	1705	3058
179	1715	3050
180	1729	3047
181	1738	3038
182	1748	3029
183	1757	3018
184	1768	3011
185	1779	3003
186	1786	2990
187	1794	2977
188	1803	2967
